event_timestamp,provider,model,request_id,user_id,project_id,team_name,workflow_name,agent_name,request_count,input_tokens,output_tokens,total_tokens,estimated_cost,latency_ms,status,environment
2026-06-06T03:52:27.236916,OpenAI,GPT-4.1,d2834fb0-85e1-4a94-b873-1e87c7af3921,user-26,incident-platform,Data Engineering,Root Cause Analysis,FinOps Agent,1,660,2786,3446,0.03446,1937,timeout,prod
2026-06-06T14:19:27.237656,GitHub Copilot,Copilot-Chat,d2cdd0d6-3b07-411e-acf2-5f704c59e291,user-1,rag-platform,Data Engineering,CI/CD Assistant,FinOps Agent,1,4601,1022,5623,0.05623,1126,success,dev
2026-06-12T08:23:27.237693,OpenAI,GPT-4o,39bc1339-711c-4805-b5d5-2749b6270454,user-45,rag-platform,Data Engineering,CI/CD Assistant,Code Assistant,1,4733,191,4924,0.04924,3324,success,stage
2026-06-23T19:40:27.237716,Vertex AI,Gemini-on-Vertex,cb0ede05-900f-4301-98e6-7c12882e2311,user-42,incident-platform,Customer Support,Customer Support,Code Assistant,1,2465,1888,4353,0.04353,2443,success,prod
2026-06-06T05:09:27.237734,Vertex AI,Gemini-on-Vertex,6e2129f5-f4db-441a-9aaa-b75dbfa156d8,user-15,rag-platform,Product Engineering,Root Cause Analysis,FinOps Agent,1,3830,3166,6996,0.06996,2115,success,stage
2026-06-29T23:09:27.237752,OpenAI,GPT-4o,f76ae0f2-e80b-49af-ac82-c0e00dba3036,user-33,developer-portal,Product Engineering,Documentation,Support Agent,1,5569,111,5680,0.0568,4275,success,prod
2026-06-07T12:49:27.237768,Gemini,Gemini-2.5-Pro,859a3cbb-1891-414c-b0bf-3af8b1cdbfee,user-43,developer-portal,Product Engineering,Code Review,Incident Agent,1,4534,3351,7885,0.07885,2390,success,prod
2026-06-21T05:20:27.237783,GitHub Copilot,Copilot-Chat,3a095eca-a5c9-4cf8-b82d-ae03ace6c1b7,user-45,rag-platform,Customer Support,Customer Support,Code Assistant,1,1306,3815,5121,0.05121,4749,success,prod
2026-06-19T12:58:27.237798,GitHub Copilot,Copilot-Chat,cef113f9-eeb3-4187-9994-0f9db1207892,user-4,support-assistant,Customer Support,Code Review,Incident Agent,1,7203,215,7418,0.07418,3498,success,prod
2026-06-08T23:10:27.237813,GitHub Copilot,Copilot-Chat,b5253995-dc74-48f7-ac88-35d39c6f4413,user-37,rag-platform,Platform,Customer Support,Incident Agent,1,2664,57,2721,0.02721,2084,success,prod
